,tracker_ids,tracker_class_name,bounding_boxes
24,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1649.1,      447.59,      2394.4,      2153.8], dtype=float32), array([     2835.3,      847.37,      3211.9,      1184.9], dtype=float32), array([     3526.8,      901.33,      3837.9,        1138], dtype=float32), array([       3175,       865.6,      3365.8,      1026.6], dtype=float32), array([     2660.9,      865.47,      2878.8,      1022.4], dtype=float32), array([     3396.6,      847.93,      3594.7,      1009.6], dtype=float32)]"
25,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1646.1,      442.26,      2383.3,      2155.2], dtype=float32), array([     2835.4,      846.47,      3210.2,      1183.4], dtype=float32), array([     3525.8,      900.85,        3837,      1142.1], dtype=float32), array([     3173.1,      864.83,      3363.3,      1025.3], dtype=float32), array([     2663.2,      864.67,      2877.8,      1022.2], dtype=float32), array([       3397,      849.33,      3592.9,      1007.4], dtype=float32)]"
26,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1641.3,      432.03,      2376.2,      2152.9], dtype=float32), array([     2833.2,       846.1,      3210.7,      1187.4], dtype=float32), array([     3525.3,      902.03,      3833.9,      1140.5], dtype=float32), array([     3171.9,      865.05,      3359.4,      1025.3], dtype=float32), array([     2661.6,      865.34,      2875.9,      1019.9], dtype=float32), array([     3396.2,      849.67,      3592.7,      1004.4], dtype=float32)]"
27,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1635.5,      424.41,        2363,        2152], dtype=float32), array([     2830.8,      845.32,      3211.1,      1185.4], dtype=float32), array([     3525.5,      902.97,      3830.5,      1135.5], dtype=float32), array([     3170.6,      865.01,      3357.7,      1025.3], dtype=float32), array([     2657.5,      866.02,        2875,      1021.6], dtype=float32), array([       3394,      851.15,      3589.8,      1004.3], dtype=float32)]"
28,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1630.6,      419.97,      2349.5,      2151.7], dtype=float32), array([     2828.7,      843.54,      3210.7,      1188.5], dtype=float32), array([     3526.1,      903.94,      3832.9,      1134.8], dtype=float32), array([     3168.5,      864.17,      3356.8,      1024.6], dtype=float32), array([     2654.7,       865.8,      2874.9,      1026.9], dtype=float32), array([     3394.7,      851.95,      3585.6,      998.47], dtype=float32)]"
29,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1625.2,      417.33,      2338.3,      2151.4], dtype=float32), array([     2827.2,      843.21,      3210.4,      1187.1], dtype=float32), array([     3526.2,      904.98,      3832.5,      1133.6], dtype=float32), array([     3167.7,      864.61,      3355.6,      1025.3], dtype=float32), array([       2653,      865.46,      2875.2,      1030.2], dtype=float32), array([       3393,      849.74,      3586.9,      998.58], dtype=float32)]"
30,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1619.3,      416.84,      2320.6,        2152], dtype=float32), array([       2825,      842.78,      3208.1,      1188.3], dtype=float32), array([     3527.2,      908.08,      3831.6,      1133.2], dtype=float32), array([     3166.6,      865.97,      3353.3,      1025.8], dtype=float32), array([     2651.4,      864.67,      2873.9,      1032.1], dtype=float32), array([     3391.2,      849.64,      3585.5,      999.24], dtype=float32)]"
31,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1613.3,      418.37,      2306.4,      2150.8], dtype=float32), array([     2823.8,      843.85,      3206.5,      1189.6], dtype=float32), array([     3527.5,      910.26,      3829.4,      1134.1], dtype=float32), array([     3166.4,      868.77,      3350.2,      1027.3], dtype=float32), array([     2651.8,      864.89,      2872.8,      1027.5], dtype=float32), array([     3387.4,      851.72,      3585.3,      1005.1], dtype=float32)]"
32,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1604.6,      419.99,      2296.3,      2148.9], dtype=float32), array([     2821.7,       844.1,      3207.6,      1192.6], dtype=float32), array([     3527.5,      912.88,      3828.4,      1135.3], dtype=float32), array([     3165.5,      869.39,      3348.1,      1027.3], dtype=float32), array([     2650.4,      865.15,      2870.5,      1026.8], dtype=float32), array([     3386.5,      854.59,      3579.2,      1010.6], dtype=float32)]"
33,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1597.5,      422.29,      2287.1,      2148.3], dtype=float32), array([     2818.8,      843.57,      3206.4,      1193.8], dtype=float32), array([     3526.2,      913.07,      3826.4,      1133.8], dtype=float32), array([     3164.2,      870.03,      3345.4,      1027.6], dtype=float32), array([     2650.8,      865.32,      2869.9,      1026.7], dtype=float32), array([     3383.5,      855.74,      3576.3,        1009], dtype=float32)]"
34,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1592.9,      427.91,      2277.9,      2147.9], dtype=float32), array([     2816.8,      842.73,      3204.9,        1192], dtype=float32), array([     3526.7,      912.05,      3823.4,      1132.8], dtype=float32), array([     3160.4,       870.5,      3342.8,      1027.9], dtype=float32), array([     2650.8,      865.79,      2868.7,      1029.4], dtype=float32), array([     3381.9,      855.97,      3575.1,      1008.3], dtype=float32)]"
35,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1584.4,      428.88,      2270.6,      2147.5], dtype=float32), array([     2814.7,      842.31,      3204.4,      1190.9], dtype=float32), array([     3526.3,      912.32,      3820.9,      1132.5], dtype=float32), array([     3156.4,      871.22,      3341.4,      1028.1], dtype=float32), array([     2647.6,      865.13,      2866.3,      1033.2], dtype=float32), array([     3378.3,      857.63,      3578.8,      1009.8], dtype=float32)]"
36,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([       1574,      437.21,      2264.1,        2147], dtype=float32), array([     2812.2,      841.53,      3202.5,      1191.7], dtype=float32), array([     3526.2,      910.78,      3824.3,      1136.7], dtype=float32), array([     3154.1,      871.57,      3339.5,      1028.4], dtype=float32), array([     2647.4,      864.17,      2863.3,        1034], dtype=float32), array([     3378.2,      861.05,      3556.2,      1010.1], dtype=float32)]"
37,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1566.1,      441.59,      2257.1,      2146.5], dtype=float32), array([     2809.3,      841.28,      3199.9,      1192.6], dtype=float32), array([     3526.1,      911.35,      3824.2,      1136.2], dtype=float32), array([       3151,      871.95,      3337.4,      1029.2], dtype=float32), array([     2647.1,      864.45,      2861.6,        1029], dtype=float32), array([     3364.6,      857.75,      3541.6,      1011.4], dtype=float32)]"
38,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1557.5,      444.76,      2246.3,      2145.6], dtype=float32), array([     2806.3,      841.73,        3197,      1193.7], dtype=float32), array([     3524.8,      910.53,      3822.2,      1134.8], dtype=float32), array([     3145.9,       873.6,      3335.4,      1029.4], dtype=float32), array([     2646.4,      865.44,      2860.6,      1025.2], dtype=float32), array([     3364.5,       855.7,        3552,      1011.5], dtype=float32)]"
39,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1550.8,      449.17,      2237.6,      2145.6], dtype=float32), array([     2803.4,      841.87,      3191.7,        1193], dtype=float32), array([       3524,      910.19,      3820.6,      1135.1], dtype=float32), array([     3143.2,      875.56,      3331.4,        1030], dtype=float32), array([     2646.5,      865.14,        2861,      1022.8], dtype=float32), array([     3362.7,      853.21,      3549.3,      1010.9], dtype=float32)]"
40,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1544.5,      454.84,      2227.7,      2149.8], dtype=float32), array([       2800,       842.9,      3187.9,      1191.7], dtype=float32), array([     3522.6,      910.43,      3817.3,      1134.8], dtype=float32), array([     3138.4,      876.77,      3327.7,      1031.1], dtype=float32), array([     2644.2,      864.95,      2858.9,      1021.9], dtype=float32), array([       3359,      853.11,      3543.5,      1012.8], dtype=float32)]"
41,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1539.9,      461.72,      2219.1,      2150.4], dtype=float32), array([     2796.3,      843.43,      3185.1,      1192.9], dtype=float32), array([     3521.1,      910.94,        3816,      1133.7], dtype=float32), array([     3134.5,      877.33,      3323.1,        1031], dtype=float32), array([     2640.4,      865.42,      2856.7,      1022.4], dtype=float32), array([     3356.2,      854.09,      3534.3,      1011.7], dtype=float32)]"
42,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([       1531,      466.33,      2207.2,      2150.4], dtype=float32), array([     2791.8,      842.94,      3184.7,        1196], dtype=float32), array([     3519.6,      911.45,      3815.5,      1133.6], dtype=float32), array([     3132.3,       876.9,      3317.6,      1031.2], dtype=float32), array([     2635.2,      865.21,      2854.9,      1023.5], dtype=float32), array([     3356.2,      855.45,      3536.4,        1012], dtype=float32)]"
43,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1524.6,      469.66,      2198.2,      2151.2], dtype=float32), array([     2785.2,      843.48,      3184.8,      1200.9], dtype=float32), array([     3518.3,      912.15,      3814.9,      1135.6], dtype=float32), array([       3131,      876.94,      3312.8,      1031.9], dtype=float32), array([     2633.7,      865.71,      2850.9,      1024.7], dtype=float32), array([     3352.6,      857.61,      3542.3,      1017.7], dtype=float32)]"
44,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1518.3,      467.74,        2191,      2151.2], dtype=float32), array([     2780.8,      842.67,      3183.3,      1197.3], dtype=float32), array([     3516.9,      913.15,      3813.7,      1134.8], dtype=float32), array([     3128.7,      876.23,      3307.5,      1031.6], dtype=float32), array([     2632.5,      865.33,      2848.9,      1025.8], dtype=float32), array([     3351.1,      859.32,      3543.8,        1016], dtype=float32)]"
45,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1513.4,       465.4,      2186.2,      2151.7], dtype=float32), array([     2774.5,      842.69,      3178.5,      1197.2], dtype=float32), array([     3515.6,      913.28,      3813.1,        1138], dtype=float32), array([       3126,      875.84,      3303.2,      1031.5], dtype=float32), array([     2634.3,      865.13,      2846.6,      1027.2], dtype=float32), array([     3348.4,      858.99,      3542.7,      1019.5], dtype=float32)]"
46,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1502.5,      466.95,      2181.9,      2151.2], dtype=float32), array([     2770.3,      842.77,      3177.1,      1199.1], dtype=float32), array([     3514.2,      913.35,      3812.2,      1138.1], dtype=float32), array([     3122.7,      875.82,        3299,      1031.3], dtype=float32), array([     2647.7,      865.32,      2843.6,      1026.5], dtype=float32), array([     3340.1,      857.63,      3544.9,        1023], dtype=float32)]"
47,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1493.3,      462.94,      2175.6,      2151.2], dtype=float32), array([       2768,      841.03,      3174.5,      1203.1], dtype=float32), array([       3513,      910.81,      3811.6,      1137.1], dtype=float32), array([       3120,      875.08,      3294.5,      1030.2], dtype=float32), array([     2658.8,      865.94,      2840.8,        1027], dtype=float32), array([     3340.7,      855.96,      3545.3,      1019.5], dtype=float32)]"
48,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1480.9,      463.39,      2166.9,      2150.1], dtype=float32), array([     2764.3,      839.15,      3171.8,      1199.2], dtype=float32), array([     3512.4,      906.54,      3810.2,      1138.9], dtype=float32), array([     3117.2,       874.6,        3290,        1029], dtype=float32), array([     2664.8,      865.42,      2837.9,        1025], dtype=float32), array([     3341.7,      855.06,        3542,        1019], dtype=float32)]"
49,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1470.8,      461.17,      2159.1,      2149.9], dtype=float32), array([     2759.1,       838.4,      3168.2,      1201.7], dtype=float32), array([     3511.8,       905.2,      3807.5,      1142.7], dtype=float32), array([     3111.6,      874.41,      3287.2,      1030.2], dtype=float32), array([       2660,      865.08,      2833.5,      1021.6], dtype=float32), array([     3341.7,       854.7,      3540.3,      1017.4], dtype=float32)]"
50,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1462.1,      458.56,        2153,      2149.5], dtype=float32), array([     2753.2,      837.39,      3165.1,      1199.6], dtype=float32), array([     3511.4,      904.09,      3804.5,      1141.9], dtype=float32), array([     3105.4,      874.18,      3284.6,      1031.9], dtype=float32), array([     2653.5,       863.8,      2830.4,      1020.1], dtype=float32), array([     3337.3,      854.28,      3541.4,        1024], dtype=float32)]"
51,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1450.3,      448.97,      2143.7,        2149], dtype=float32), array([     2746.7,      834.95,      3161.7,        1199], dtype=float32), array([     3510.4,      902.61,      3801.6,      1139.4], dtype=float32), array([     3100.2,      872.15,      3280.4,        1031], dtype=float32), array([     2649.3,      861.08,      2827.8,      1018.2], dtype=float32), array([     3337.1,      852.44,      3539.3,      1019.3], dtype=float32)]"
52,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1437.8,      441.84,      2135.3,      2145.4], dtype=float32), array([     2741.9,      835.12,      3156.4,      1199.9], dtype=float32), array([     3509.6,      904.33,      3798.3,        1143], dtype=float32), array([       3096,      874.03,        3276,      1033.6], dtype=float32), array([     2653.8,      860.82,      2828.7,      1020.9], dtype=float32), array([     3335.4,      853.33,      3538.8,      1021.1], dtype=float32)]"
53,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1418.6,      430.54,      2123.7,      2145.4], dtype=float32), array([     2737.3,      834.97,      3153.8,      1201.6], dtype=float32), array([     3509.1,      906.39,      3796.2,      1144.5], dtype=float32), array([     3094.6,      876.35,      3271.2,      1036.1], dtype=float32), array([       2648,      861.96,      2826.7,      1021.6], dtype=float32), array([     3330.5,      858.68,        3538,      1030.5], dtype=float32)]"
54,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([       1401,      420.82,      2112.4,      2145.5], dtype=float32), array([     2729.5,      834.85,      3144.3,        1201], dtype=float32), array([     3507.4,       907.5,      3794.7,      1140.6], dtype=float32), array([     3092.6,      877.65,      3268.8,      1036.4], dtype=float32), array([     2643.5,      862.26,      2825.1,        1024], dtype=float32), array([     3334.5,      861.31,      3535.2,      1025.3], dtype=float32)]"
55,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([       1387,      413.99,      2101.1,      2145.7], dtype=float32), array([     2724.1,      834.59,      3144.2,      1198.5], dtype=float32), array([     3507.3,      908.64,        3793,      1138.5], dtype=float32), array([     3090.8,      878.43,      3266.1,      1036.3], dtype=float32), array([     2639.7,      863.18,      2822.6,      1026.1], dtype=float32), array([     3301.2,      858.68,      3536.1,      1035.4], dtype=float32)]"
56,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([       1367,      406.66,      2093.8,      2146.2], dtype=float32), array([     2719.4,      833.99,      3143.6,      1192.6], dtype=float32), array([     3506.9,      909.15,      3792.4,      1138.6], dtype=float32), array([     3090.2,      878.68,      3263.4,        1036], dtype=float32), array([       2634,       863.9,      2818.1,        1027], dtype=float32), array([     3310.6,      860.97,      3538.9,      1036.5], dtype=float32)]"
57,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1352.5,      402.13,      2088.7,      2146.7], dtype=float32), array([     2715.4,      833.75,        3147,      1194.4], dtype=float32), array([     3506.2,      908.49,      3791.3,      1139.3], dtype=float32), array([     3088.9,      878.35,      3259.7,        1036], dtype=float32), array([     2625.7,      864.64,      2805.9,      1023.9], dtype=float32), array([     3308.4,      864.49,      3536.3,      1042.1], dtype=float32)]"
58,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1337.9,      397.65,      2082.3,        2147], dtype=float32), array([     2711.7,      833.21,      3149.8,      1194.8], dtype=float32), array([     3504.2,      910.98,      3791.3,      1139.8], dtype=float32), array([       3086,      877.72,      3256.2,      1033.8], dtype=float32), array([     2621.7,      865.26,      2793.3,      1021.2], dtype=float32), array([     3297.1,      860.05,      3530.4,      1038.1], dtype=float32)]"
59,"[1, 2, 3, 4, 6, 7]","['person', 'car', 'car', 'car', 'car', 'car']","[array([     1322.6,      395.92,      2075.8,      2146.8], dtype=float32), array([       2708,      832.66,        3150,      1193.8], dtype=float32), array([     3502.3,       911.5,      3788.7,      1139.5], dtype=float32), array([       3082,      877.79,        3253,      1032.9], dtype=float32), array([     2620.4,      865.58,      2779.2,      1020.1], dtype=float32), array([       3301,      858.75,      3523.5,      1037.2], dtype=float32)]"
